nct_id,title,status,start_date,completion_date,phase,enrollment,study_type,sponsor,sponsor_class,fda_regulated
NCT03701997,Registry to Monitor Berlin Heart EXCOR® Pediatric VAD as a Bridge to Cardiac Transplantation.,UNKNOWN,2018-10-15,2022-05,,62,OBSERVATIONAL,"Berlin Heart, Inc",INDUSTRY,True
NCT05409118,JAGUAR Trial (Outside United States; OUS): ObJective Analysis to GaUge EVAR Outcomes Through Randomization,WITHDRAWN,2025-12,2030-12,NA,0,INTERVENTIONAL,Endologix,INDUSTRY,True
NCT02903420,A Clinical Trial of Transcatheter Aortic Valves in Dialysis Patients (Japan),ACTIVE_NOT_RECRUITING,2016-09,2026-01,NA,38,INTERVENTIONAL,Edwards Lifesciences,INDUSTRY,True
NCT07276529,Initial Safety of SFM Plus OTOLoc for Creating Side-to-side or End-to-side Colorectal Anastomoses,RECRUITING,2026-02,2026-08,NA,20,INTERVENTIONAL,"GI Windows, Inc.",INDUSTRY,True
NCT04945824,A Human Factors Study to Evaluate a Novel Intracanalicular Insertion Device in Healthy Subjects,TERMINATED,2021-06-01,2022-11-01,EARLY_PHASE1,2,INTERVENTIONAL,"Ocular Therapeutix, Inc.",INDUSTRY,True
NCT01936259,Comprehensive Shoulder System Nano IDE,COMPLETED,2013-08,2019-09-27,NA,258,INTERVENTIONAL,Zimmer Biomet,INDUSTRY,True
NCT04886479,Comparing Silicone Hydrogel Contact Lens Wearers to Hydrogel Contact Lens Wearers and Non-lens Wearers,COMPLETED,2019-03-06,2022-10-07,NA,22,INTERVENTIONAL,"CooperVision, Inc.",INDUSTRY,True
NCT04294446,Post-market Study of the Biodesign Hernia Graft,TERMINATED,2020-11-10,2024-11-26,,74,OBSERVATIONAL,Cook Biotech Incorporated,INDUSTRY,True
NCT05666141,The Effect of Pharyngeal Electrical Stimulation on Peripheral Biomechanical Aspects of Deglutition,RECRUITING,2022-06-07,2025-09,NA,84,INTERVENTIONAL,Universitaire Ziekenhuizen KU Leuven,OTHER,True
NCT05546996,EVD Drainage Data and Intracranial Pressure (ICP) Measurements,RECRUITING,2023-07-11,2027-01-30,NA,24,INTERVENTIONAL,Baylor College of Medicine,OTHER,True
NCT05061862,Cardiac Implantable Electronic Device (CIED) Research Study,ACTIVE_NOT_RECRUITING,2022-03-06,2026-05-01,,1000,OBSERVATIONAL,Medtronic Cardiac Rhythm and Heart Failure,INDUSTRY,True
NCT03738462,A Study to Evaluate the Conformis Hip System,TERMINATED,2018-11-26,2022-06-06,,49,OBSERVATIONAL,Restor3D,INDUSTRY,True
NCT04713683,Investigation of Nickel Sensitization After Percutaneous Implantation of Patent Foramen Ovale Occluder,COMPLETED,2020-12-10,2024-12-01,NA,96,INTERVENTIONAL,National and Kapodistrian University of Athens,OTHER,True
NCT07106788,Aveir Leadless Pacemaker Japan PMS,RECRUITING,2025-05-26,2029-11,,304,OBSERVATIONAL,Abbott Medical Devices,INDUSTRY,True
NCT05633888,Post-Market Feasibility Study of the Tenon Medical CATAMARAN™ SI Joint Fusion System,UNKNOWN,2022-11-14,2026-01,NA,50,INTERVENTIONAL,Tenon Medical,INDUSTRY,True
NCT01964261,Sensory Motor Transformations in Human Cortex,RECRUITING,2013-11-01,2027-01-31,NA,5,INTERVENTIONAL,"Richard A. Andersen, PhD",OTHER,True
NCT03382769,Hearing Loss in Older Adults Study,TERMINATED,2019-03-27,2020-01-04,NA,1,INTERVENTIONAL,Cochlear,INDUSTRY,True
NCT06497088,A Clinical Study to Evaluate the Ultrasonic Detection of a Novel Nasogastric Tube in the Human Body.,NOT_YET_RECRUITING,2024-11-01,2025-06-30,NA,90,INTERVENTIONAL,Nasotrak Medical Pte Ltd,INDUSTRY,True
